"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NDVI_changeSSES","spectral_NDWI_annualMedian","site_code","presence_absence"
-1.15693724635957,-1.1744010464323,-0.802477667211449,0.390891707987494,-0.0779433496955033,0.940079270024805,-0.993575338123687,0.495012864114441,"nonveg_715","absence"
-0.878897935096433,-0.944107409324223,-0.712302365012183,1.18282570333066,-0.082596043306252,0.945627723902203,-0.881971344913655,1.36206807145168,"nonveg_689","absence"
-1.15199152799588,-1.16239393252637,-1.1320402302041,0.511462403098362,-0.0478621706583304,0.879546414736153,-0.999440457464987,0.674973900035023,"nonveg_1416","absence"
-1.07055574208811,-1.09660092807714,-0.425011841733415,0.0925738503597781,0.221638457417746,0.836405362791954,-0.858779979552943,0.168655487246884,"nonveg_719","absence"
-0.116025267098397,0.0874914205339046,-0.198230133588202,-0.904736587711776,0.224763057129182,-1.24857696854146,0.333425016889299,-0.922394244337898,"USA.NorthSlope.16","presence"
1.05785231861334,1.01355761607508,1.18534968164104,-1.07175361937565,0.276652316864323,-1.06307984992986,0.315638826448933,-1.10510955605098,"Finland.Javrresduottar.A-Sphagnum","presence"
0.901714402893614,0.984865576915671,0.119224899178909,-0.690043910214571,0.282245132771325,-1.1743093105106,0.699653813126759,-0.687522153146832,"Canada.DeceptionBay.TH8","presence"
1.03113387930484,1.00477162627454,-0.216562812398391,-1.02653707757456,0.588747225441698,-1.11133542064418,3.5570052059302,-1.05564301693537,"Sweden.Abisko.KJ-MesicHeath","presence"
0.726237539927104,0.516967983488906,0.365121200694085,-0.814556635386999,0.198740774374535,0.324845392412553,0.941468762489487,-0.82373808972216,"Finland.Kilpisjarvi.18","presence"
2.4614053514477,2.13214507384842,1.86805481679694,-1.15242258509162,0.39098017207401,-0.791055442988919,0.938990595155862,-1.21399274274195,"Finland.Kevo.4","presence"
-0.799160814854682,-0.833368722321721,-0.462166676671758,0.0565909387347242,-0.0165367778206302,0.622010175393368,-0.578669553161476,0.0393295109154483,"nonveg_832","absence"
0.405822485763667,0.212578493291299,0.063408038628298,-0.877582619309248,0.180923688145979,0.0475198076490955,0.118934943681003,-0.892688017664559,"Russia.Tiksi.ShrubTundra","presence"
-1.19416948535791,-1.23679359759397,-1.02584237597178,0.525456475467811,-0.0339325457250066,1.09801714327901,-0.909946351491035,0.656687792463246,"nonveg_572","absence"
0.905228347560606,0.853811479914727,0.897878015408466,-0.856793062400387,0.246924032603345,-0.978629295977682,0.354570501682414,-0.869944406829563,"Russia.Kytalyk.T1","presence"
0.72459171754671,0.886103530104179,0.871726735350897,-0.928223218038911,0.418285118946899,-0.754729606778195,1.18209717368454,-0.948088432161502,"Russia.Kolyma.T2","presence"
1.08103814279082,1.46928969514462,0.709311819416879,-1.06379003848823,0.290678911447106,-1.3820970832073,0.191377101688679,-1.0963974615436,"USA.YukonKuskokwimDelta.B","presence"
-0.533587047366208,-0.658455154602394,-0.202167177341659,0.817488626118322,-0.09180169220464,0.955192478122993,-1.32562321339711,0.952173030506234,"nonveg_972","absence"
-1.46299984603959,-1.27399914622525,-3.8010655159262,2.69265501002153,0.118754837426298,0.139918881375672,2.70748065186386,3.01312371203856,"nonveg_1810","absence"
-0.757204258645278,-0.75657284926857,-0.300021499080913,1.09421307569484,-0.0690070460127203,0.674952877772277,-1.08001239134982,0.906178034339506,"nonveg_988","absence"
0.958450034895732,1.20586924287909,1.07588116039581,-0.896101301094085,0.160666324343829,-1.15065750674378,-0.162804567742259,-0.9222060239965,"USA.BrooksRange.6","presence"
-0.556033682106965,-0.694737082256058,-0.463941531745763,0.504322005268423,-0.0629676930952386,1.13930683337887,-1.18121015035672,0.626474588087681,"nonveg_624","absence"
1.1162914449941,0.983160732184909,1.16344793111865,-0.561472964830872,0.228016499846764,-0.618913708410315,0.634147893610535,-0.546866555756582,"Finland.Javrresduottar.EC-Salix","presence"
1.34642517447767,1.28478425218273,1.76581444771602,-0.613537133733754,0.118062391272503,-0.626739588023223,0.0830488804023801,-0.688915857925639,"Russia.Yamal.Nadym-1","presence"
-0.862434121887509,-0.923194703956378,-0.479946982206157,0.31485416841081,-0.0781692686143168,0.908012345114395,-1.0262636506939,0.381212106463958,"nonveg_816","absence"
-1.19057803654468,-1.20692972239441,-1.0011910236582,0.247195882431696,-0.0791189082329826,0.955314350720199,-1.27542264442194,0.337810767437639,"nonveg_955","absence"
0.310739358891844,0.436750226275414,0.198312686739405,-0.669368889279517,0.224763057129182,-1.24857696854146,0.333425016889299,-0.664903843761323,"USA.NorthSlope.16","presence"
0.931881315323785,0.739202897349551,0.999067557529172,-0.959147944273624,0.174876525656086,-0.325532673163818,0.115944532269646,-0.981919838080564,"Norway.Javrresduottar.EC-Sphagnum","presence"
1.07612655016074,1.0625206727168,0.665810479854916,-0.759131106489376,0.162316217825741,-0.732649815901201,0.434940481679608,-0.763102999465181,"Canada.DeceptionBay.BEGL2","presence"
-1.18536655577474,-1.21662875759987,-1.06426249066895,0.856643494274914,-5.7925671723519,1.0543193756999,-0.61111445207637,1.00454163471131,"nonveg_1241","absence"
-0.701713578777477,-0.788830572153943,-0.669165865071226,0.61196094099539,-0.0576258574265408,0.773024651247436,-0.800948250271796,0.736860856602426,"nonveg_936","absence"
1.18485539328129,0.85012923283915,0.776051842950172,-0.443695381585238,0.180923688145979,0.0475198076490955,0.118934943681003,-0.418018811181353,"Russia.Tiksi.ShrubTundra","presence"
